ISO_A3,Country,Latitude (average),Longitude (average),"Average theoretical potential (GHI, kWh/m2/day), 
long-term","Average practical potential 
(PVOUT Level 1, 
kWh/kWp/day), long-term"
THA,Thailand,15.0,100.0,4.9348,4.0646
TJK,Tajikistan,39.0,71.0,4.5133,4.3406
TKM,Turkmenistan,40.0,60.0,4.7217,4.3678
TLS,Timor-Leste,-8.55,125.5167,5.3165,4.3391
TON,Tonga,-20.0,-175.0,4.8045,4.0078
TTO,Trinidad and Tobago,11.0,-61.0,5.3849,4.349
TUN,Tunisia,34.0,9.0,5.3011,4.7445
TUR,Turkey,39.0,35.0,4.5979,4.3232
TUV,Tuvalu,-8.0,178.0,5.3376,4.2668
TZA,"Tanzania, United Republic of",-6.0,35.0,5.6567,4.5067
UGA,Uganda,1.0,32.0,5.6431,4.4616
UKR,Ukraine,49.0,32.0,3.3505,3.2962
URY,Uruguay,-33.0,-56.0,4.7898,4.3043
USA,United States,38.0,-97.0,4.4984,4.3584
UZB,Uzbekistan,41.0,64.0,4.5128,4.2688
VCT,Saint Vincent and the Grenadines,13.25,-61.2,5.1861,4.2728
VCT,Saint Vincent & the Grenadines,13.25,-61.2,5.1861,4.2728
VCT,St. Vincent and the Grenadines,13.25,-61.2,5.1861,4.2728
VEN,"Venezuela, Bolivarian Republic of",8.0,-66.0,5.3497,4.3545
VEN,Venezuela,8.0,-66.0,5.3497,4.3545
VGB,"Virgin Islands, British",18.5,-64.5,5.756,4.8547
VIR,"Virgin Islands, U.S.",18.3333,-64.8333,5.6868,4.7504
VNM,Viet Nam,16.0,106.0,4.2521,3.5544
VNM,Vietnam,16.0,106.0,4.2521,3.5544
VUT,Vanuatu,-16.0,167.0,4.3046,3.5305
WSM,Samoa,-13.5833,-172.3333,4.7821,4.0529
YEM,Yemen,15.0,48.0,6.4675,5.2137
ZAF,South Africa,-29.0,24.0,5.6293,5.0036
ZMB,Zambia,-15.0,30.0,5.8834,4.8281
ZWE,Zimbabwe,-20.0,30.0,5.781,4.8611
