Latitude (average),Longitude (average),"Cummulative installed PV capacity (MWp), 2018","Cummulative installed PV capacity (MWp), 2018","Cummulative installed PV capacity (MWp), 2018","Cummulative installed PV capacity (MWp), 2018"
35.0,38.0,1.4,1.4,1.4,1.4
21.75,-71.5833,0.4,0.4,0.4,0.4
15.0,19.0,0.2,0.2,0.2,0.2
8.0,1.1667,3.0,3.0,3.0,3.0
15.0,100.0,2720.2,2720.2,2720.2,2720.2
39.0,71.0,0.0,0.0,0.0,0.0
40.0,60.0,0.0,0.0,0.0,0.0
-8.55,125.5167,0.6,0.6,0.6,0.6
-20.0,-175.0,6.2,6.2,6.2,6.2
11.0,-61.0,3.3,3.3,3.3,3.3
34.0,9.0,47.1,47.1,47.1,47.1
39.0,35.0,5062.9,5062.9,5062.9,5062.9
-8.0,178.0,,,,
-6.0,35.0,25.4,25.4,25.4,25.4
1.0,32.0,48.0,48.0,48.0,48.0
49.0,32.0,2002.7,2002.7,2002.7,2002.7
-33.0,-56.0,248.2,248.2,248.2,248.2
38.0,-97.0,49692.0,49692.0,49692.0,49692.0
41.0,64.0,3.9,3.9,3.9,3.9
13.25,-61.2,1.3,1.3,1.3,1.3
13.25,-61.2,1.3,1.3,1.3,1.3
13.25,-61.2,1.3,1.3,1.3,1.3
8.0,-66.0,4.0,4.0,4.0,4.0
8.0,-66.0,4.0,4.0,4.0,4.0
18.5,-64.5,0.2,0.2,0.2,0.2
18.3333,-64.8333,5.0,5.0,5.0,5.0
16.0,106.0,106.4,106.4,106.4,106.4
16.0,106.0,106.4,106.4,106.4,106.4
-16.0,167.0,2.7,2.7,2.7,2.7
-13.5833,-172.3333,13.5,13.5,13.5,13.5
15.0,48.0,150.0,150.0,150.0,150.0
-29.0,24.0,2558.8,2558.8,2558.8,2558.8
-15.0,30.0,5.0,5.0,5.0,5.0
-20.0,30.0,10.6,10.6,10.6,10.6
